username,tweetcreatedts,tweet
arellyaa,2022-07-16 11:40:44+00:00,"@zonarent HALOO SENDER AKU AKUU!! aku masih sekolah niii hihiii lagi ada di kelas akhirr, aku avail hourly malam ini kok dan kebetulan bakalan stay up late jugaa jadi kita punya banyak waktu untuk ngobrol! aku juga udah mulai sekolah offline jadi harus pinter bgt ngatur waktunya.

—"
taryagila,2022-07-16 11:35:54+00:00,"@artcmys IYAA
MINGGU INI JUGA PEMBELAJARAN GEREJA UDAH MULAI OFFLINE TERUS SENIN UDAH MULAI SEKOLAH BARU T-T
harus belajar ulang turu sebelum jam 1"
0323rens,2022-07-16 11:14:00+00:00,"@zonarent Hallooo selamat malam, sender! Aku mau majuin anak cantikku yang masih sekolah yaa? Cinta (@berwarcna) masih sekolah dan mau naik ke kelas 12 nih! Cinta experienced as talent dari awal 2022, dan juga sekolahnya Cinta udah mulai offline pas Cinta jadi talent. —"
iloverenjun2314,2022-07-16 10:58:49+00:00,"Halo semua👋 ini si oyen keadaan kaki belakang nya memparah tp krn aku udah sekolah offline dan full sampe sore aku ngak bisa maksimal ngerawat si oyen jadi aku taruh tempat bu hening buat di rawat dan nanti kalau sudah sembuh di kembalikan ke aku, untuk saat ini oyen -"
Frey_sama,2022-07-16 10:47:20+00:00,"@rigelasido Ganbaaa Rigell!!
Sekarang sekolah udah full offline ya?"
anothercall911,2022-07-16 09:36:57+00:00,"@tanyakanrl di SMK ku mpls online &amp; offline, dan onlinenya udah disuru rangkum 5 materi + bikin 1 video di edit animasi, offlinenya upacara + bersih"" + demo eskul + latihan sama koramil langsung and ngedengerin humas ngomong. Pengen pindah sekolah langsung aslii cape bngt mpls doang seminggu"
tethahaha,2022-07-16 09:23:02+00:00,ga nyangka senin besok udah pada masuk sekolah offline
ybfad,2022-07-16 06:57:34+00:00,"@TWICESELLBASE Hampir semua sbt kayanya sepi nder senin kan udah pada mulai masuk sekolah, apalagi udah mulai offline"
chocookyuu,2022-07-16 05:41:14+00:00,sekolah ku udah mulai offline dari maret dann enak offline daripada online menurutku😭 https://t.co/cTKDt0eKME
enhypqn,2022-07-16 04:14:38+00:00,mana udah offline sekolah
